LATITUDE,LONGITUDE,ADDRESS,ZIPCODE,SUBLOCALITY,TYPE,BEDS,BATH,PROPERTYSQFT,PRICE,BROKERTITLE,HOUSE_UNIT_LATLON_KEY,BOROUGH
40.6362368,-73.939679,850 E 39th Street,11210,Flatbush,house,3,1.0,1572.0,314000,Sowae Corp,850||40.6362368|-73.939679,Brooklyn
40.7700395,-73.9638872,110 E 71st Street,10021,Upper East Side,house,5,1.0,1000.0,395000,Brown Harris Stevens,110||40.7700395|-73.9638872,Manhattan
40.8429545,-73.8249591,1406 Mac Donough Place,10465,Pelham Bay,house,2,2.0,2184.21,600000,Prospes Real Estate Corp,1406||40.8429545|-73.8249591,Bronx
40.6105856,-74.1268175,78 Mountainview Avenue,10314,Tottenville,house,6,3.0,2520.0,790000,Exp Realty,78||40.6105856|-74.1268175,Staten Island
40.6170731,-74.0383836,9425 Shore Road #4F,11209,Fort Hamilton,condo,2,2.0,1100.0,539000,Stroffolino Realty Llc,9425|4f|40.6170731|-74.0383836,
40.8809873,-73.9224337,2501 Palisade Avenue #2,10463,Spuyten Duyvil,condo,4,2.0,1995.0,1295000,Douglas Elliman,2501|2|40.8809873|-73.9224337,Bronx
40.8690109,-73.8564445,2942 Lurting Avenue,10469,Riverdale,house,3,1.0,2184.21,245000,Sowae Corp,2942||40.8690109|-73.8564445,Bronx
40.8969146,-73.8654984,340 E 234th Street,10470,Co-op City,house,7,3.0,2385.0,400000,Americas Real Estate Advisors,340||40.8969146|-73.8654984,Bronx
40.782238,-73.9846322,25 Riverside Drive,10023,Upper West Side,house,8,8.0,12000.0,55000000,Douglas Elliman,25||40.782238|-73.9846322,Manhattan
40.6241766,-74.0216837,8015 6th Avenue Apt A1,11209,Bay Ridge,condo,1,1.0,1000.0,280000,Brown Harris Stevens,8015||40.6241766|-74.0216837,
40.5159004,-74.2314825,40 Adelphi Avenue,10309,Mid-Island,house,3,2.0,1440.0,899000,Top Choice Realty Llc,40||40.5159004|-74.2314825,Staten Island
40.6813429,-73.9981509,194 Carroll Street,11231,Red Hook,house,4,3.0,2184.21,649000,Cross Country Realty,194||40.6813429|-73.9981509,Brooklyn
40.5877991,-73.9216187,38 Dare Ct,11229,Gerritsen Beach,house,6,4.0,2184.21,739000,Charles Rutenberg Realty Inc,38||40.5877991|-73.9216187,
40.5247627,-74.1681035,31 4 Ct,10312,Huguenot,house,4,2.37,3000.0,1495000,Amerihomes Realty,31||40.5247627|-74.1681035,Staten Island
40.6680619,-73.9748375,591 4th Street,11215,Park Slope,house,5,2.0,3528.0,3950000,Douglas Elliman,591||40.6680619|-73.9748375,Brooklyn
40.7897507,-73.9487257,122 E 102nd Street #5B,10029,East Harlem,condo,2,1.0,979.0,325000,Avenues,122|5b|40.7897507|-73.9487257,Manhattan
40.7810583,-73.9808407,215 W 75th Street #4D,10023,Upper West Side,condo,3,1.0,2184.21,299999,Corcoran Chelsea/Flatiron,215|4d|40.7810583|-73.9808407,Manhattan
40.8235127,-73.9467514,327 Convent Avenue,10031,Harlem,house,6,5.0,4720.0,2695000,Sotheby'S International Realty,327||40.8235127|-73.9467514,Manhattan
40.6178184,-74.0151165,1151 83rd Street,11228,Bensonhurst,house,6,2.37,3958.0,4800000,Nobroker,1151||40.6178184|-74.0151165,Brooklyn
40.5423126,-74.1555672,364 Armstrong Avenue,10308,St. George,house,3,3.0,1360.0,694000,Compass Realty Central Inc.,364||40.5423126|-74.1555672,Staten Island
40.8726182,-73.8651768,761 S Oak Drive,10467,Baychester,house,4,2.0,2846.0,688888,Douglas Elliman,761||40.8726182|-73.8651768,Bronx
40.665357,-73.8770867,781 Shepherd Avenue,11208,East New York,house,4,2.0,1980.0,400000,Sowae Corp,781||40.665357|-73.8770867,Brooklyn
40.6837891,-73.8381042,103-12 104th Street,11417,Jamaica,house,5,2.0,2184.21,346000,Sowae Corp,103||40.6837891|-73.8381042,Queens
40.67538,-73.7472571,135-38 224th Street,11413,Jamaica,house,3,1.0,2184.21,265000,Sowae Corp,135||40.67538|-73.7472571,Queens
40.5604695,-74.1018925,57 Neutral Avenue,10306,New Dorp,house,3,2.0,1224.0,319000,Winzone Realty Inc,57||40.5604695|-74.1018925,Staten Island
